Family,Species,Chroms,SCS
Scarabaeidae,Adoretus_duvauceli,11,XY
Scarabaeidae,Geniates_borelli,10,XY
Scarabaeidae,Pelidnota_pallidipennis,10,XY
Scarabaeidae,Rutela_striata,10,XY
Scarabaeidae,Scarabaeidae_nr.,10,XY
Scarabaeidae,Adoretus_lasiopygus,11,XY
Scarabaeidae,Adoretus_versutus,11,XY
Scarabaeidae,Adoretus_versutus,12,XY
Scarabaeidae,Cyclocephala_insulicola,10,XY
Scarabaeidae,Cyclocephala_tridentata,10,XY
Scarabaeidae,Cyclocephala_melanocephala,10,XY
Scarabaeidae,Euetheola_humilis,10,XY
Scarabaeidae,Allomyrina_dichotoma,10,XY
Scarabaeidae,Pentodon_bidens,10,XO
Scarabaeidae,Xylotrupes_gideon,10,XY
Scarabaeidae,Cyclocephala_insulicola,10,XY
Scarabaeidae,Dyscinetus_bidentatus,10,XY
Scarabaeidae,Augosoma_centaurus,9,NeoXY
Scarabaeidae,Dynastes_hercules,9,NeoXY
Scarabaeidae,Dynastes_tityus,9,NeoXY
Scarabaeidae,Megasoma_actaeon,10,XY
Scarabaeidae,Oryctes_rhinoceros,9,NeoXY
Scarabaeidae,Oryctes_rhinoceros,10,XY
Scarabaeidae,Oryctes_sicornis,9,XY
Scarabaeidae,Phyllognathus_dionysius,10,XY
Scarabaeidae,Enema_pan,9,XY
Scarabaeidae,Megasoma_actaeon,10,XY
Scarabaeidae,Strategus_surinamensis,10,XY
Scarabaeidae,Phileurus_didymus,8,NeoXY
Scarabaeidae,Oryctes_rhinoceros,9,NeoXY
Scarabaeidae,Oryctes_rhinoceros,10,XY
Scarabaeidae,Bothynus_striatellus,10,XY
Scarabaeidae,Phileurus_valgus,10,XY
Scarabaeidae,Eophileurus_platypterus,10,XY
Scarabaeidae,Pentodon_idiota,10,XY
Scarabaeidae,Chalcosoma_atlas,10,NeoXY
Scarabaeidae,Orizabus_cultripes,9,XY
Scarabaeidae,Anisoplia_flavipennis,10,XY
Scarabaeidae,Mimela_glabra,10,XY
Scarabaeidae,Anomala_corpulenta,9,XY
Scarabaeidae,Anomala_dubia,10,XY
Scarabaeidae,Anomala_rufocuprea,9,XY
Scarabaeidae,Anomala_ruficapilla,10,XY
Scarabaeidae,Exomala_hirtella,10,XY
Scarabaeidae,Phyllopertha_campestris,10,XY
Scarabaeidae,Anomala_bengalensis,9,XY
Scarabaeidae,Anomala_polita,10,XY
Scarabaeidae,Anomala_varicolor,10,XY
Scarabaeidae,Anomala_dorsalis,10,XY
Scarabaeidae,Popillia_japonica,9,XY
Scarabaeidae,Cetonia_aurata,10,XY
Scarabaeidae,Glycyphana_fulvistemma,10,XY
Scarabaeidae,Euphoria_inda,10,XY
Scarabaeidae,Glycyphana_fulvistemma,10,XY
Scarabaeidae,Protaetia_lugubris,10,XY
Scarabaeidae,Eudicella_gralli,10,XY
Scarabaeidae,Oxythyrea_funesta,10,XO
Scarabaeidae,Oxythyrea_funesta,10,XY
Scarabaeidae,Protaetia_angustata,10,XY
Scarabaeidae,Protaetia_vidua,10,XO
Scarabaeidae,Protaetia_cuprea,10,XY
Scarabaeidae,Protaetia_morio,10,XY
Scarabaeidae,Protaetia_fieberi,10,XY
Scarabaeidae,Protaetia_opaca,10,XY
Scarabaeidae,Protaetia_aurichalcea,10,XY
Scarabaeidae,Protaetia_mirifica,10,XY
Scarabaeidae,Coenochilus_trabecula,10,XY
Scarabaeidae,Osmoderma_lassallei,9,NeoXY
Scarabaeidae,Eudicella_aethiopica,10,XY
Scarabaeidae,Jumnos_ruckieri,7,NeoXY
Scarabaeidae,Stephanorrhina_princeps,10,XY
Scarabaeidae,Plaesiorrhinella_watkinsia,10,XY
Scarabaeidae,Gnorimus_nobilis,10,XY
Scarabaeidae,Trichiotinus_assimilis,10,XY
Scarabaeidae,Schizonycha_fuscescens,10,XY
Scarabaeidae,Schizonycha_ruficollis,11,XY
Scarabaeidae,Trichius_fasciatus,10,XY
Scarabaeidae,Trichius_rosaceus,10,XY
Scarabaeidae,Trichius_sexualis,10,XY
Scarabaeidae,Amphimallon_majale,10,XY
Scarabaeidae,Holotrichia_serrata,10,XY
Scarabaeidae,Haplidia_transversa,10,XY
Scarabaeidae,Holotrichia_longipennis,9,XY
Scarabaeidae,Schizonycha_fuscescens,10,XY
Scarabaeidae,Apogonia_carita,10,XY
Scarabaeidae,Apogonia_ferruginea,10,XO
Scarabaeidae,Apogonia_sp.,11,XO
Scarabaeidae,Phyllophaga_delata,10,XY
Scarabaeidae,Holotrichia_longipennis,9,XY
Scarabaeidae,Holotrichia_problematica,10,XY
Scarabaeidae,Melolontha_hippocastani,10,XY
Scarabaeidae,Melolontha_melolontha,10,XY
Scarabaeidae,Melolontha_pectoralis,10,XY
Scarabaeidae,Orphnus_impressus,10,XY
Scarabaeidae,Aegialia_areria,10,XY
Scarabaeidae,Ataenius_fossor,10,XY
Scarabaeidae,Psammodius_oregonesis,10,XY
Scarabaeidae,Aphodius_ater,10,XY
Scarabaeidae,Aphodius_constans,10,XY
Scarabaeidae,Aphodius_lineolatus,10,XY
Scarabaeidae,Aphodius_rufus,10,XY
Scarabaeidae,Aphodius_niger,10,XY
Scarabaeidae,Aphodius_pseudolividus,10,XY
Scarabaeidae,Aphodius_borealis,10,XY
Scarabaeidae,Aphodius_moestus,11,XY
Scarabaeidae,Aphodius_depressus,10,XY
Scarabaeidae,Aphodius_luridus,10,XY
Scarabaeidae,Aphodius_rufipes,10,XY
Scarabaeidae,Aphodius_erraticus,10,XY
Scarabaeidae,Paragymnopleurus_sinuatus,9,XY
Scarabaeidae,Aphodius_conspurcatus,10,XY
Scarabaeidae,Aphodius_vittatus,10,XY
Scarabaeidae,Aphodius_bonvouloiri,10,XY
Scarabaeidae,Aphodius_distinctus,10,XY
Scarabaeidae,Gymnopleurus_cyaneus,10,XY
Scarabaeidae,Gymnopleurus_miliaris,18,XY
Scarabaeidae,Gymnopleurus_mundus,7,XY
Scarabaeidae,Gymnopleurus_parvus,9,XY
Scarabaeidae,Aphodius_sticticus,10,XY
Scarabaeidae,Aphodius_coniugatus,10,XY
Scarabaeidae,Aphodius_fimetarius,10,XY
Scarabaeidae,Aphodius_pedellus,10,XY
Scarabaeidae,Chiron_digitatus,10,XY
Scarabaeidae,Bolbites_onitoides,10,XY
Scarabaeidae,Coprophanaeus_dardanus,10,XY
Scarabaeidae,Coprophanaeus_cyanescens,10,XY
Scarabaeidae,Coprophanaeus_ensifer,10,XY
Scarabaeidae,Diabroctis_mimas,10,XY
Scarabaeidae,Oxysternon_silenus,10,XO
Scarabaeidae,Diabroctis_mimas,10,XY
Scarabaeidae,Oxysternon_silenus,10,XO
Scarabaeidae,Phanaeus_splendidulus,10,XY
Scarabaeidae,Phanaeus_igneus,6,XY
Scarabaeidae,Phanaeus_vindex,6,NeoXY
Scarabaeidae,Phanaeus_vindex,6,XY
Scarabaeidae,Phanaeus_chalcomelas,6,XY
Scarabaeidae,Eucranium_arachnoides,9,XY
Scarabaeidae,Glyphoderus_sterquilinus,9,XY
Scarabaeidae,Phanaeus_chalcomelas,6,XY
Scarabaeidae,Phanaeus_daphnis,6,NeoXY
Scarabaeidae,Phanaeus_sp.,7,XY
Scarabaeidae,Phanaeus_splendidulus,10,XY
Scarabaeidae,Sulcophanaeus_imperator,10,NeoXY
Scarabaeidae,Canthon_indigaceus,9,XY
Scarabaeidae,Dichotomius_bos,9,XY
Scarabaeidae,Dichotomius_nisus,9,XY
Scarabaeidae,Dichotomius_geminatus,9,XY
Scarabaeidae,Dichotomius_sericeus,9,XY
Scarabaeidae,Dichotomius_laevicollis,9,XY
Scarabaeidae,Dichotomius_semisquamosus,9,XY
Scarabaeidae,Scarabaeus_cristatus,10,XY
Scarabaeidae,Gromphas_lacordairei,10,XY
Scarabaeidae,Microcopris_doriae,10,XY
Scarabaeidae,Canthidium_breve,9,XY
Scarabaeidae,Copris_lunaris,10,XY
Scarabaeidae,Copris_lugubris,7,XY
Scarabaeidae,Copris_sinicus,7,XY
Scarabaeidae,Paracopris_ramosiceps,9,XY
Scarabaeidae,Ontherus_appendiculatus,10,XY
Scarabaeidae,Catharsius_molossus,10,XY
Scarabaeidae,Dichotomius_affinis,9,XY
Scarabaeidae,Dichotomius_carolinus,10,XY
Scarabaeidae,Eurysternus_caribaeus,4,NeoXY
Scarabaeidae,Deltochilum_calcaratum,7,NeoXY
Scarabaeidae,Deltochilum_elevatum,10,XY
Scarabaeidae,Heliocopris_bucephalus,10,XY
Scarabaeidae,Bubas_bison,10,XY
Scarabaeidae,Bubas_bubalus,10,XY
Scarabaeidae,Dichotomius_carolinus,10,XY
Scarabaeidae,Onitis_ion,10,XY
Scarabaeidae,Onitis_belial,10,XY
Scarabaeidae,Onitis_belial,10,XY
Scarabaeidae,Cheironitis_furcifer,10,XY
Scarabaeidae,Heliocopris_bucephalus,10,XY
Scarabaeidae,Heliocopris_gigas,10,XY
Scarabaeidae,Onthophagus_pacificus,10,XY
Scarabaeidae,Caccobius_schreberi,10,XY
Scarabaeidae,Onthophagus_stylocerus,10,XY
Scarabaeidae,Onthophagus_hecate,10,XY
Scarabaeidae,Onthophagus_marginicollis,10,XY
Scarabaeidae,Onthophagus_pennsylvanicus,10,XY
Scarabaeidae,Onthophagus_ovatus,10,XY
Scarabaeidae,Onthophagus_ruficapillus,10,XY
Scarabaeidae,Onthophagus_coenobita,10,XY
Scarabaeidae,Onthophagus_illyricus,10,XY
Scarabaeidae,Onthophagus_fracticornis,10,XY
Scarabaeidae,Onthophagus_opacicollis,10,XY
Scarabaeidae,Onthophagus_similis,10,XY
Scarabaeidae,Onthophagus_fasciatus,10,XY
Scarabaeidae,Onthophagus_hirtus,10,XY
Scarabaeidae,Onthophagus_bifasciatus,10,XY
Scarabaeidae,Onthophagus_unifasciatus,10,XY
Scarabaeidae,Onthophagus_taurus,10,XY
Scarabaeidae,Onthophagus_vacca,10,XY
Scarabaeidae,Onitis_philemon,10,XY
Scarabaeidae,Onthophagus_furcatus,10,XY
Scarabaeidae,Onthophagus_dama,10,XY
Scarabaeidae,Digitonthophagus_gazella,10,XY
Scarabaeidae,Phalops_divisus,10,XY
Scarabaeidae,Oniticellus_pallipes,10,XY
Scarabaeidae,Tiniocellus_spinipes,12,XY
Scarabaeidae,Scarabaeus_sacer,10,XY
Scarabaeidae,Sisyphus_schaefferi,10,XY
Scarabaeidae,Aphodius_fasciatus,10,XY
Scarabaeidae,Aphodius_fossor,10,XY
Scarabaeidae,Aphodius_haemorrhoidalis,10,XY
Scarabaeidae,Aphodius_plagiatus,10,XY
Scarabaeidae,Aphodius_lapponum,10,XY
Scarabaeidae,Microcopris_doriae,10,XY
Scarabaeidae,Aphodius_paykulli,10,XY
Scarabaeidae,Aphodius_obliteratus,10,XY
Scarabaeidae,Aphodius_scrutator,10,XY
Lucanidae,Lucanus_cervus,11,XY
Lucanidae,Lucanus_maculifemoratus,13,XY
Lucanidae,Prosopocoilus_inclinatus,10,XY
Lucanidae,Dorcus_parallelipipedus,9,NeoXY
Lucanidae,Dorcus_rectus,9,XY
Lucanidae,Hemisodorcus_rubrofemoratus,5,NeoXY
Lucanidae,Prosopocoilus_inclinatus,10,XY
Lucanidae,Lamprima_adolphinae,9,XY
Lucanidae,Figulus_punctatus,13,XY
Lucanidae,Figulus_binodulus,10,XY
Lucanidae,Figulus_boninensis,10,XY
Lucanidae,Odontolabis_cuvera,15,XO
Lucanidae,Lamprima_adolphinae,9,XY
Lucanidae,Sinodendron_rugosum,9,XY
Passalidae,Aulacocyclus_edentulus,15,XY
Passalidae,Paxillus_leachi,13,XO
Passalidae,Passalus_punctiger,13,XO
Passalidae,Ptichopus_angulatus,13,XO
Passalidae,Aulacocyclus_edentulus,15,XY
Passalidae,Publius_agassizi,14,XY
Passalidae,Veturius_assimilis,14,XY
Passalidae,Chondrocephalus_purulensis,20,XXXXXO
Passalidae,Oileus_sargi,9,XY
Passalidae,Odontotaenius_zodiacus,15,XY
Passalidae,Petrejoides_orizabae,14,XY
Passalidae,Yumtaax_mazatecus,19,XY
Passalidae,Odontotaenius_disjunctus,13,XY
Passalidae,Odontotaenius_striatopunctatus,12,XY
Passalidae,Odontotaenius_striatopunctatus,13,XY
Passalidae,Popilius_eclipticus,17,XY
Passalidae,Heliscus_tropicus,17,XY
Passalidae,Spurius_bicornis,15,XY
Passalidae,Spurius_bicornis,16,XY
Passalidae,Passalus_aculeatus,15,XO
Passalidae,Passalus_alius,13,XO
Passalidae,Passalus_mancus,16,XO
