Family,Species,Chroms,SCS
Scarabaeidae,Adoretus_duvauceli,11,Xyp
Scarabaeidae,Adoretus_lasiopygus,11,Xyp
Scarabaeidae,Adoretus_versutus,11,Xyp
Scarabaeidae,Aegialia,10,XY
Scarabaeidae,Allomyrina,10,Xyp
Scarabaeidae,Amphimallon,10,XY
Scarabaeidae,Amphimallon_majale,10,XY
Scarabaeidae,Anisoplia,10,Xyp
Scarabaeidae,Anomala_bengalensis,9,XY
Scarabaeidae,Anomala_corpulenta,9,XY
Scarabaeidae,Anomala_dorsalis,10,Xyp
Scarabaeidae,Anomala_dubia,10,XY
Scarabaeidae,Anomala_polita,10,Xyp
Scarabaeidae,Anomala_ruficapilla,10,Xyp
Scarabaeidae,Anomala_rufocuprea,10,XY
Scarabaeidae,Anomala_varicolor,10,Xyp
Scarabaeidae,Aphodius_ater,10,XY
Scarabaeidae,Aphodius_bonvouloiri,10,XY
Scarabaeidae,Aphodius_borealis,10,Xyp
Scarabaeidae,Aphodius_coniugatus,10,XY
Scarabaeidae,Aphodius_conspurcatus,10,XY
Scarabaeidae,Aphodius_constans,10,XY
Scarabaeidae,Aphodius_depressus,10,XY
Scarabaeidae,Aphodius_distinctus,10,XY
Scarabaeidae,Aphodius_erraticus,10,XY
Scarabaeidae,Aphodius_fasciatus,10,XY
Scarabaeidae,Aphodius_fimetarius,10,XY
Scarabaeidae,Aphodius_fossor,10,XY
Scarabaeidae,Aphodius_haemorrhoidalis,10,XY
Scarabaeidae,Aphodius_lapponum,10,XY
Scarabaeidae,Aphodius_lineolatus,10,XY
Scarabaeidae,Aphodius_luridus,10,XY
Scarabaeidae,Aphodius_moestus,11,XY
Scarabaeidae,Aphodius_niger,10,XY
Scarabaeidae,Aphodius_obliteratus,10,XY
Scarabaeidae,Aphodius_paykulli,10,XY
Scarabaeidae,Aphodius_pedellus,10,XY
Scarabaeidae,Aphodius_plagiatus,10,XY
Scarabaeidae,Aphodius_pseudolividus,10,XY
Scarabaeidae,Aphodius_rufipes,10,XY
Scarabaeidae,Aphodius_rufus,10,Xyp
Scarabaeidae,Aphodius_scrutator,10,XY
Scarabaeidae,Aphodius_sticticus,10,XY
Scarabaeidae,Aphodius_vittatus,10,XY
Scarabaeidae,Apogonia,10,Xyp
Scarabaeidae,Ataenius,10,XY
Scarabaeidae,Augosoma_centaurus,9,NeoXY
Passalidae,Aulacocyclus,15,XY
Passalidae,Aulacocyclus_edentulus,15,XY
Scarabaeidae,Autoserica,15,Xyp
Scarabaeidae,Bolbites_onitoides,10,Xyp
Scarabaeidae,Bothynus,10,Xyp
Scarabaeidae,Bubas_bison,10,XY
Scarabaeidae,Bubas_bubalus,10,XY
Scarabaeidae,Caccobius_schreberi,10,XY
Scarabaeidae,Canthidium,9,Xyp
Scarabaeidae,Canthon_indigaceus,9,Xyp
Scarabaeidae,Catharsius_molossus,10,Xyp
Scarabaeidae,Cetonia_aurata,10,XY
Scarabaeidae,Chalcosoma_atlas,10,NeoXY
Scarabaeidae,Cheironitis,10,XY
Scarabaeidae,Chiron,10,XY
Passalidae,Chondrocephalus_purulensis,20,XXXXXO
Scarabaeidae,Coenochilus,10,Xyp
Scarabaeidae,Copris_lugubris,7,Xyp
Scarabaeidae,Copris_lunaris,10,XY
Scarabaeidae,Copris_sinicus,7,Xyp
Scarabaeidae,Coprophanaeus_cyanescens,10,Xyp
Scarabaeidae,Coprophanaeus_dardanus,10,XY
Scarabaeidae,Coprophanaeus_ensifer,10,XY
Scarabaeidae,Cotalpa_lanigera,10,Xyp
Scarabaeidae,Cyclocephala,10,Xyp
Scarabaeidae,Cyclocephala_insulicola,10,Xyp
Scarabaeidae,Cyclocephala_melanocephala,10,Xyp
Scarabaeidae,Cyclocephala_tridentata,10,Xyp
Scarabaeidae,Deltochilum,7,Xyp
Scarabaeidae,Diabroctis,10,XY
Scarabaeidae,Diabroctis_mimas,10,Xyp
Scarabaeidae,Dichotomius,10,Xyp
Scarabaeidae,Dichotomius_bos,9,Xyp
Scarabaeidae,Dichotomius_carolinus,10,Xyp
Scarabaeidae,Dichotomius_geminatus,9,Xyp
Scarabaeidae,Dichotomius_laevicollis,9,Xyp
Scarabaeidae,Dichotomius_nisus,9,Xyp
Scarabaeidae,Dichotomius_semisquamosus,9,Xyp
Scarabaeidae,Dichotomius_sericeus,9,Xyr
Scarabaeidae,Digitonthophagus_gazella,10,XY
Scarabaeidae,Diplotaxis_obscura,10,Xyp
Lucanidae,Dorcus_parallelipipedus,9,NeoXY
Lucanidae,Dorcus_rectus,9,Xyr
Scarabaeidae,Dynastes_hercules,9,NeoXY
Scarabaeidae,Dynastes_tityus,9,NeoXY
Scarabaeidae,Dyscinetus,10,Xyp
Scarabaeidae,Ectinohoplia,10,Xyr
Scarabaeidae,Ectinohoplia_rufipes,10,Xyr
Scarabaeidae,Enema_pan,9,Xyp
Scarabaeidae,Eophileurus,10,Xyp
Scarabaeidae,Eucranium_arachnoides,9,Xyp
Scarabaeidae,Eudicella,10,Xyp
Scarabaeidae,Eudicella_gralli,10,XY
Scarabaeidae,Euetheola_humilis,10,Xyp
Scarabaeidae,Euphoria,10,Xyp
Scarabaeidae,Eurysternus_caribaeus,4,NeoXY
Scarabaeidae,Exomala,10,XY
Lucanidae,Figulus_binodulus,10,XY
Lucanidae,Figulus_boninensis,10,XY
Lucanidae,Figulus_punctatus,13,Xyp
Scarabaeidae,Geniates,10,Xyp
Glaresidae,Glaresis,10,Xyp
Scarabaeidae,Glycyphana,10,XY
Scarabaeidae,Glycyphana_fulvistemma,10,XY
Scarabaeidae,Glyphoderus_sterquilinus,9,Xyp
Scarabaeidae,Gnorimus_nobilis,10,XY
Scarabaeidae,Goliathus_goliatus,10,Xyp
Scarabaeidae,Gromphas,10,Xyp
Scarabaeidae,Gymnopleurus,10,Xyp
Scarabaeidae,Haplidia_transversa,10,XY
Scarabaeidae,Heliocopris,10,Xyp
Scarabaeidae,Heliocopris_bucephalus,10,XY
Scarabaeidae,Heliocopris_gigas,10,Xyp
Passalidae,Heliscus_tropicus,17,XY
Lucanidae,Hemisodorcus_rubrofemoratus,5,NeoXY
Scarabaeidae,Holotrichia,9,Xyp
Scarabaeidae,Holotrichia_longipennis,9,Xyp
Scarabaeidae,Holotrichia_serrata,10,Xyp
Scarabaeidae,Homaloplia,10,XO
Scarabaeidae,Hoplia,10,XY
Scarabaeidae,Jumnos,7,NeoXY
Lucanidae,Lamprima_adolphinae,9,XY
Lucanidae,Lamprima,9,XY
Glaphyridae,Lichnanthe,10,Xyp
Glaphyridae,Lichnanthe_rathvoni,10,Xyp
Lucanidae,Lucanus_cervus,11,XY
Lucanidae,Lucanus_maculifemoratus,13,Xyr
Scarabaeidae,Maladera,10,Xyp
Scarabaeidae,Megasoma,10,Xyp
Scarabaeidae,Megasoma_actaeon,10,Xyp
Scarabaeidae,Melolontha_hippocastani,10,XY
Scarabaeidae,Melolontha_melolontha,10,XY
Scarabaeidae,Melolontha_pectoralis,10,XY
Scarabaeidae,Microcopris,10,Xyp
Scarabaeidae,Microcopris_doriae,10,Xyp
