Family,Species,Chroms,SCS
Scarabaeidae,Adoretus_duvauceli,11,XY
Scarabaeidae,Geniates,10,XY
Scarabaeidae,Pelidnota,10,XY
Scarabaeidae,Rutela,10,XY
Scarabaeidae,Scarabaeidae,10,XY
Scarabaeidae,Adoretus_lasiopygus,11,XY
Scarabaeidae,Adoretus_versutus,11,XY
Scarabaeidae,Cyclocephala_insulicola,10,XY
Scarabaeidae,Cyclocephala_tridentata,10,XY
Scarabaeidae,Cyclocephala_melanocephala,10,XY
Scarabaeidae,Euetheola_humilis,10,XY
Scarabaeidae,Allomyrina,10,XY
Scarabaeidae,Pentodon_bidens,10,XO
Scarabaeidae,Xylotrupes_gideon,10,XY
Scarabaeidae,Cyclocephala,10,XY
Scarabaeidae,Dyscinetus,10,XY
Scarabaeidae,Augosoma_centaurus,9,NeoXY
Scarabaeidae,Dynastes_hercules,9,NeoXY
Scarabaeidae,Dynastes_tityus,9,NeoXY
Scarabaeidae,Megasoma,10,XY
Scarabaeidae,Oryctes,9,XY
Scarabaeidae,Phyllognathus_dionysius,10,XY
Scarabaeidae,Enema_pan,9,XY
Scarabaeidae,Megasoma_actaeon,10,XY
Scarabaeidae,Strategus,10,XY
Scarabaeidae,Phileurus_didymus,8,NeoXY
Scarabaeidae,Oryctes_rhinoceros,9,NeoXY
Scarabaeidae,Bothynus,10,XY
Scarabaeidae,Phileurus_valgus,10,XY
Scarabaeidae,Eophileurus,10,XY
Scarabaeidae,Pentodon_idiota,10,XY
Scarabaeidae,Chalcosoma_atlas,10,NeoXY
Scarabaeidae,Orizabus,9,XY
Scarabaeidae,Anisoplia,10,XY
Scarabaeidae,Mimela,10,XY
Scarabaeidae,Anomala_corpulenta,9,XY
Scarabaeidae,Anomala_dubia,10,XY
Scarabaeidae,Anomala_rufocuprea,10,XY
Scarabaeidae,Anomala_ruficapilla,10,XY
Scarabaeidae,Exomala,10,XY
Scarabaeidae,Phyllopertha,10,XY
Scarabaeidae,Anomala_bengalensis,9,XY
Scarabaeidae,Anomala_polita,10,XY
Scarabaeidae,Anomala_varicolor,10,XY
Scarabaeidae,Anomala_dorsalis,10,XY
Scarabaeidae,Popillia_japonica,9,XY
Scarabaeidae,Cetonia_aurata,10,XY
Scarabaeidae,Glycyphana_fulvistemma,10,XY
Scarabaeidae,Euphoria,10,XY
Scarabaeidae,Glycyphana,10,XY
Scarabaeidae,Protaetia_lugubris,10,XY
Scarabaeidae,Eudicella_gralli,10,XY
Scarabaeidae,Oxythyrea_funesta,10,XY
Scarabaeidae,Protaetia_angustata,10,XY
Scarabaeidae,Protaetia_vidua,10,XO
Scarabaeidae,Protaetia_cuprea,10,XY
Scarabaeidae,Protaetia_morio,10,XY
Scarabaeidae,Protaetia_fieberi,10,XY
Scarabaeidae,Protaetia_opaca,10,XY
Scarabaeidae,Protaetia_aurichalcea,10,XY
Scarabaeidae,Protaetia_mirifica,10,XY
Scarabaeidae,Coenochilus,10,XY
Scarabaeidae,Osmoderma_lassallei,9,NeoXY
Scarabaeidae,Eudicella,10,XY
Scarabaeidae,Goliathus_goliatus,10,XY
Scarabaeidae,Jumnos,7,NeoXY
Scarabaeidae,Stephanorrhina_princeps,10,XY
Scarabaeidae,Plaesiorrhinella,10,XY
Scarabaeidae,Gnorimus_nobilis,10,XY
Scarabaeidae,Trichiotinus_assimilis,10,XY
Scarabaeidae,Schizonycha,10,XY
Scarabaeidae,Trichius_fasciatus,10,XY
Scarabaeidae,Trichius_rosaceus,10,XY
Scarabaeidae,Trichius_sexualis,10,XY
Scarabaeidae,Amphimallon,10,XY
