ID,TII
Enema_pan,2747.136117
Megasoma_actaeon,2781.503556
Bothynus,4186.469747
Phileurus_didymus,2590.18917
Augosoma_centaurus,2500.139098
Phyllognathus_dionysius,3127.673633
Eophileurus_chinensis,2374.330811
Pentodon_idiota,2665.271077
Eophileurus,2897.641447
Oryctes,2957.236748
Cyclocephala,3031.473099
Dyscinetus,3732.389291
Chalcosoma_atlas,3379.287326
Adoretus_lasiopygus,3173.033898
Adoretus_versutus,3186.381049
Geniates,3565.968413
Rutela,3520.984454
Pelidnota,3402.892224
Orizabus,3676.43485
Anomala_polita,2533.155666
Anomala_bengalensis,2534.2952
Anomala_varicolor,3040.401844
Mimela,2691.966725
Anisoplia,2497.266637
Anomala_rufocuprea,2113.956289
Popillia_japonica,3305.377171
Exomala,2207.720354
Anomala_corpulenta,2130.629616
Phyllopertha,2368.55814
Anomala_dorsalis,3147.201561
Scarabaeidae,4238.817653
Oxythyrea_funesta,3648.296426
Protaetia_aurichalcea,2982.15076
Protaetia_morio,2576.700113
Protaetia_vidua,2519.49327
Protaetia_cuprea,2651.277462
Protaetia_angustata,2622.572981
Jumnos,3723.154186
Plaesiorrhinella,3434.614514
Tropinota,3364.340647
Euphoria,3258.053434
Phyllophaga,3575.650028
Goliathus_goliatus,3596.030883
Stephanorrhina_princeps,3188.858542
Eudicella,3458.676664
Tropinota_hirta,2810.591753
Cetonia_aurata,3258.79693
Glycyphana,2666.329255
Osmoderma_lassallei,3533.032262
Schizonycha_fuscescens,3969.398532
Coenochilus,3401.311262
Orphnus,4428.199908
Melolontha_melolontha,3238.175608
Holotrichia,3633.310458
Holotrichia_serrata,3164.877521
Holotrichia_longipennis,3072.322859
Haplidia_transversa,3064.370956
Amphimallon,3112.121946
Apogonia,3587.258077
Schizonycha,4252.593934
Trichius_rosaceus,3177.796774
Trichius_fasciatus,3176.032273
Gnorimus_nobilis,3737.123224
Hoplia,3346.449021
Ectinohoplia_rufipes,3346.449021
Glaresis,3874.720445
Oruscatus_davus,5876.903232
Chiron,4038.270909
Figulus_boninensis,2144.862816
Figulus_binodulus,1858.607831
Figulus_punctatus,2104.837718
Odontolabis,2576.02958
Lucanus_cervus,2287.639379
Prosopocoilus_inclinatus,2042.677457
Prosopocoilus,2482.368083
Lucanus_maculifemoratus,1942.964653
Hemisodorcus_rubrofemoratus,2453.662078
Dorcus_rectus,2194.537626
Dorcus_parallelipipedus,2162.525783
Lamprima_adolphinae,3063.245659
Lamprima_sp.,2982.989944
Sinodendron_rugosum,2770.187284
Heliocopris_gigas,3230.175343
Heliocopris_bucephalus,3230.175343
Paragymnopleurus,3869.583058
Gymnopleurus,3807.295323
Ataenius,4017.264281
Aulacocyclus_edentulus,4162.760931
Passalus,2932.538417
Verres,2849.068936
Popilius,3209.253271
Oileus_sargi,2772.08587
Oileus_bifidus,2666.269847
Odontotaenius_disjunctus,2001.966676
Odontotaenius_striatopunctatus,1930.35219
Heliscus_tropicus,2449.599507
Spurius_bicornis,3385.588735
Yumtaax_mazatecus,2203.280837
Chondrocephalus_purulensis,2404.445283
Odontotaenius_zodiacus,2355.857411
Petrejoides_orizabae,2385.008399
Ptichopus_angulatus,2367.028584
Paxillus_leachi,2637.738804
Passalus_punctiger,2413.279887
Publius_sp.,3033.656738
Veturius_sp.,3038.061291
Canthon_indigaceus,3037.572901
Gromphas,2914.014548
Scarabaeus,3128.398712
