ID,TII
Onitis_philemon,3090.424261
Aegialia,4181.800685
Onthophagus_fasciatus,2995.667414
Eurysternus_caribaeus,3613.241296
Onthophagus_illyricus,3342.29302
Onthophagus_furcatus,3433.69758
Onthophagus_pacificus,3176.411855
Onthophagus_hirtus,2424.826138
Onthophagus_maki,2431.959623
Onthophagus_unifasciatus,3249.190336
Onthophagus_lemur,2120.928394
Onthophagus_ruficapillus,1759.484628
Onthophagus_ovatus,1753.91301
Onthophagus_punctatus,2806.89248
Onthophagus_taurus,3254.198273
Caccobius_schreberi,2154.982731
Oniticellus,3125.24585
Onthophagus_verticicornis,2199.253558
Onthophagus_stylocerus,2581.334918
Onthophagus_coenobita,NA
Onthophagus_nuchicornis,NA
Onthophagus_opacicollis,NA
Onthophagus_similis,NA
Onthophagus_bifasciatus,NA
Onthophagus_marginicollis,NA
Onthophagus_fracticornis,NA
Onthophagus_pennsylvanicus,NA
Onthophagus_hecate,NA
Digitonthophagus_gazella,3143.533153
Phalops,NA
Cheironitis,NA
Onitis,NA
Onitis_belial,NA
Onitis_ion,NA
Bubas_bison,3204.356057
Bubas_bubalus,NA
Tiniocellus_spinipes,NA
Onthophagus_andalusicus,NA
Onthophagus_vacca,NA
Aphodius_lividus,NA
Spurius,NA
Oxysternon_silenus,NA
Diabroctis,NA
Phanaeus_splendidulus,2364.624051
Phanaeus_chalcomelas,NA
Phanaeus_vindex,1917.76749
Phanaeus_igneus,1917.76749
Coprophanaeus_cyanescens,NA
Coprophanaeus_ensifer,2271.116489
Oxysternon,2280.742617
Diabroctis_mimas,2064.221539
Bolbites_onitoides,NA
Coprophanaeus_dardanus,NA
Sulcophanaeus,2583.665015
Eucranium_arachnoides,NA
Phanaeus,NA
Glyphoderus_sterquilinus,2603.339816
Microcopris,3292.821434
Dichotomius_carolinus,4221.967424
Scarabaeus_sacer,4176.697808
Canthidium,3872.463367
Paracopris,2411.193358
Copris_lugubris,2541.258615
Copris_lunaris,2764.191857
Copris_sinicus,2711.133169
Ontherus,3384.62696
Onthophagus_dama,NA
Malagoniella,NA
Deltochilum,NA
Sisyphus,NA
Heliocopris,NA
Dichotomius_bos,NA
Dichotomius_laevicollis,NA
Dichotomius_nisus,NA
Microcopris_doriae,NA
Catharsius_molossus,NA
Dichotomius,NA
Trox_scaber,NA
Aphodius_vittatus,NA
Aulacocyclus,NA
Aphodius_ater,NA
Aphodius_fimetarius,NA
Aphodius_erraticus,NA
Ontherus_appendiculatus,NA
Lichnanthe_rathvoni,NA
Lichnanthe,NA
Serica,NA
Autoserica,NA
Maladera,NA
Xylotrupes_gideon,NA
Allomyrina,NA
Oryctes_rhinoceros,NA
