Family,Genus,Species,Name,male diploid number,male haploid,autosome haploid,SCS
Lucanidae,Cerchus,ligrius,Cerchus_ligrius,20,10,9,XY
Lucanidae,Dorcus,parallelipipedus,Dorcus_parallelipipedus,18,9,8,NeoXY
Lucanidae,Figulus,binodulus,Figulus_binodulus,20,10,9,XY
Lucanidae,Figulus,boninensis,Figulus_boninensis,20,10,9,XY
Lucanidae,Figulus,punctatus,Figulus_punctatus,26,13,12,XY
Lucanidae,Lamprima,adolphinae,Lamprima_adolphinae,18,9,8,XY
Lucanidae,Lucanus,cervus,Lucanus_cervus,22,11,10,XY
Lucanidae,Lucanus,maculifemoratus,Lucanus_maculifemoratus,26,13,12,XY
Lucanidae,Macrodorcas,binervis,Macrodorcas_binervis,14,7,6,XY
Lucanidae,Dorcus,rectus,Dorcus_rectus,18,9,8,XY
Lucanidae,Hemisodorcus,rubrofemoratus,Hemisodorcus_rubrofemoratus,10,5,4,NeoXY
Lucanidae,Nipponodorcus,rubrofemoratus,Nipponodorcus_rubrofemoratus,10,5,4,XY
Lucanidae,Odontolabis,cuvera,Odontolabis_cuvera,29,15,14,XO
Lucanidae,Prosopocoilus,inclinatus,Prosopocoilus_inclinatus,20,10,9,XY
Lucanidae,Prosopocoilus,inclitus,Prosopocoilus_inclitus,20,10,9,XY
Lucanidae,Sinodendron,rugosum,Sinodendron_rugosum,18,9,8,XY
Passalidae,Aulacocyclus,edentulus,Aulacocyclus_edentulus,30,15,14,XY
Passalidae,Chondrocephalus,debilis,Chondrocephalus_debilis,38,19,18,XY
Passalidae,Chondrocephalus,gemmae,Chondrocephalus_gemmae,28,14,13,XY
Passalidae,Chondrocephalus,granulum,Chondrocephalus_granulum,24,12,11,XY
Passalidae,Chondrocephalus,purulensis,Chondrocephalus_purulensis,39,20,17,XXXXXO
Passalidae,Coniger,ridiculus,Coniger_ridiculus,36,18,17,XY
Passalidae,Heliscus,tropicus,Heliscus_tropicus,34,17,16,XY
Passalidae,Odontotaenius,disjunctus,Odontotaenius_disjunctus,26,13,12,XY
Passalidae,Odontotaenius,striatopunctatus,Odontotaenius_striatopunctatus,24,12,11,XY
Passalidae,Odontotaenius,striatopunctatus,Odontotaenius_striatopunctatus,26,13,12,XY
Passalidae,Odontotaenius,zodiacus,Odontotaenius_zodiacus,30,15,14,XY
Passalidae,Ogyges,politus,Ogyges_politus,26,13,12,XY
Passalidae,Oileus,bifidus,Oileus_bifidus,18,9,8,XY
Passalidae,Oileus,rimator,Oileus_rimator,18,9,8,XY
Passalidae,Oileus,sargi,Oileus_sargi,18,9,8,XY
Passalidae,Passalus,aculeatus,Passalus_aculeatus,29,15,14,XO
Passalidae,Passalus,alius,Passalus_alius,25,13,12,XO
Passalidae,Passalus,binomiatus,Passalus_binomiatus,25,13,12,XO
Passalidae,Passalus,coniferus,Passalus_coniferus,25,13,12,XO
Passalidae,Passalus,glaberrinus,Passalus_glaberrinus,25,13,12,XO
Passalidae,Passalus,interruptus,Passalus_interruptus,25,13,12,XO
Passalidae,Passalus,interstitialis,Passalus_interstitialis,25,13,12,XO
Passalidae,Passalus,mancus,Passalus_mancus,31,16,15,XO
Passalidae,Passalus,mirabilis,Passalus_mirabilis,25,13,12,XO
Passalidae,Passalus,morio,Passalus_morio,31,16,15,XO
Passalidae,Passalus,occipitalis,Passalus_occipitalis,25,13,12,XO
Passalidae,Passalus,perplexus,Passalus_perplexus,25,13,12,XO
Passalidae,Passalus,plicatus,Passalus_plicatus,25,13,12,XO
Passalidae,Passalus,punctatostriatus,Passalus_punctatostriatus,25,13,12,XO
Passalidae,Passalus,punctiger,Passalus_punctiger,25,13,12,XO
Passalidae,Passalus,quadricollis,Passalus_quadricollis,25,13,12,XO
Passalidae,Passalus,sp.,Passalus_sp.,29,15,14,XO
Passalidae,Passalus,suturalis,Passalus_suturalis,25,13,12,XO
Passalidae,Passalus,unicornis,Passalus_unicornis,25,13,12,XO
Passalidae,Paxillus,leachi,Paxillus_leachi,25,13,12,XO
Passalidae,Yumtaax,mazatecus,Yumtaax_mazatecus,38,19,18,XY
Passalidae,Petrejoides,nebulosum,Petrejoides_nebulosum,38,19,18,XY
Passalidae,Petrejoides,orizabae,Petrejoides_orizabae,28,14,13,XY
Passalidae,Popilius,eclipticus,Popilius_eclipticus,34,17,16,XY
Passalidae,Proculejus,brevis,Proculejus_brevis,28,14,13,XY
Passalidae,Proculejus,c.,Proculejus_c.,32,16,15,XY
Passalidae,Proculejus,c.,Proculejus_c.,20,10,9,XY
Passalidae,Proculus,beckeri,Proculus_beckeri,38,19,18,XY
Passalidae,Pseudacanthus,aztecus,Pseudacanthus_aztecus,34,17,16,XY
Passalidae,Pseudacanthus,mexicanus,Pseudacanthus_mexicanus,40,20,19,XY
Passalidae,Pseudacanthus,violetae,Pseudacanthus_violetae,38,19,18,XY
Passalidae,Ptichopus,angulatus,Ptichopus_angulatus,25,13,12,XO
Passalidae,Publius,agassizi,Publius_agassizi,28,14,13,XY
Passalidae,Spasalus,puncticollis,Spasalus_puncticollis,,,,
Passalidae,Spasalus,robustus,Spasalus_robustus,25,13,12,XO
Passalidae,Spurius,bicornis,Spurius_bicornis,30,15,14,XY
Passalidae,Spurius,bicornis,Spurius_bicornis,32,16,15,XY
Passalidae,Spurius,halffteri,Spurius_halffteri,38,19,18,XY
Passalidae,Undulifer,acapulcae,Undulifer_acapulcae,44,22,21,XY
Passalidae,Verres,corticicola,Verres_corticicola,28,14,13,XY
Passalidae,Verres,hageni,Verres_hageni,28,14,13,XY
Passalidae,Veturius,assimilis,Veturius_assimilis,28,14,13,XY
Passalidae,Veturius,transversus,Veturius_transversus,28,14,13,XY
Passalidae,Vindex,agnoscendens,Vindex_agnoscendens,28,14,13,XY
Passalidae,Vindex,c.,Vindex_c.,18,9,8,XY
Passalidae,Vindex,sp.,Vindex_sp.,18,9,8,XY
Trogidae,Trox,borrei,Trox_borrei,20,10,9,XY
Trogidae,Trox,costatus,Trox_costatus,20,10,9,XY
Trogidae,Trox,foveicollis,Trox_foveicollis,20,10,9,XY
Trogidae,Trox,granulatus,Trox_granulatus,20,10,9,XY
Trogidae,Trox,mochus,Trox_mochus,20,10,9,XY
Trogidae,Trox,omacanthus,Trox_omacanthus,20,10,9,XY
Trogidae,Trox,oricensis,Trox_oricensis,20,10,9,XY
Trogidae,Trox,punctatus,Trox_punctatus,20,10,9,XY
Trogidae,Trox,scaber,Trox_scaber,20,10,9,XY
