"","ID","TII"
"130","Canthon indigaceus",134000
"131","Eudicella gralli",142000
"132","Protaetia fieberi",74370.65766
"134","Protaetia opaca",82012.68516
"135","Dichotomius",143000
"136","Catharsius molossus",145000
"137","Malagoniella",233000
"138","Copris lunaris",121000
"139","Microcopris",135000
"140","Copris sinicus",118000
"141","Paracopris",107000
"142","Copris lugubris",111000
"143","Ontherus",140000
"145","Deltochilum",146000
"146","Onitis belial",97074.86425
"147","Cheironitis",113000
"148","Bubas bison",84754.82774
"149","Onitis ion",84142.15229
"150","Bubas bubalus",82393.5602
"151","Onitis",108000
"152","Sisyphus",145000
"153","Tiniocellus spinipes",121000
"154","Onitis philemon",126000
"155","Oniticellus",120000
"156","Onthophagus furcatus",134000
"157","Onthophagus hirtus",93065.95901
"159","Onthophagus illyricus",122000
"160","Heliocopris gigas",139000
"161","Heliocopris bucephalus",139000
"162","Onthophagus unifasciatus",112000
"163","Onthophagus bifasciatus",113000
"165","Onthophagus similis",71787.66138
"166","Onthophagus fracticornis",84770.61097
"167","Onthophagus fasciatus",120000
"169","Onthophagus coenobita",94930.13152
"170","Onthophagus ruficapillus",74628.02663
"171","Onthophagus ovatus",74631.66051
"172","Onthophagus pennsylvanicus",94342.44336
"173","Onthophagus marginicollis",88886.59893
"174","Onthophagus taurus",126000
"175","Onthophagus hecate",88819.17136
"176","Onthophagus stylocerus",111000
"179","Caccobius schreberi",85201.5943
"181","Aphodius lividus",234000
"182","Ontherus appendiculatus",232000
"183","Onthophagus dama",123000
"184","Dichotomius carolinus",174000
"186","Onthophagus vacca",106000
"187","Onthophagus pacificus",137000
"188","Digitonthophagus gazella",118000
"189","Phalops",117000
"190","Eurysternus caribaeus",150000
"191","Phanaeus",124000
"192","Oxysternon silenus",80841.22002
"193","Diabroctis",80452.6425
"194","Coprophanaeus ensifer",110000
"195","Canthidium",176000
"196","Phanaeus splendidulus",94737.05625
"197","Phanaeus chalcomelas",108000
"198","Phanaeus vindex",82002.66932
"199","Phanaeus igneus",82028.83919
"200","Sulcophanaeus",113000
"201","Bolbites onitoides",101000
"202","Coprophanaeus dardanus",92544.48971
"203","Diabroctis mimas",96410.21358
"204","Coprophanaeus cyanescens",97760.67853
"205","Oxysternon",99216.27196
"206","Glyphoderus sterquilinus",111000
"207","Eucranium arachnoides",115000
"208","Heliocopris",172000
"209","Gymnopleurus",162000
"210","Paragymnopleurus",165000
"211","Aphodius fasciatus",157000
"212","Aphodius plagiatus",156000
"213","Aphodius fossor",148000
"214","Aphodius scrutator",167000
"215","Serica tristis",161000
"216","Serica sericea",161000
"217","Aphodius haemorrhoidalis",173000
"218","Aphodius obliteratus",180000
"219","Phyllophaga tristis",216000
"220","Aphodius lapponum",149000
"222","Aphodius paykulli",161000
"223","Gromphas",133000
"224","Scarabaeus",155000
"225","Dichotomius geminatus",94163.59956
"226","Dichotomius sericeus",94163.59956
"227","Dichotomius bos",98151.34119
"228","Dichotomius laevicollis",86174.27128
"229","Dichotomius semisquamosus",86174.27128
"230","Dichotomius nisus",119000
"231","Aulacocyclus",159000
"234","Spurius",230000
