"i","asc1","desc1","p"
1,0.00161519840070696,0.00917448651180475,-178.779610629842
2,0.00203752287204976,0.00691160454203742,-177.207386752186
3,0.0013723756323418,0.00764383372794229,-176.749325697725
4,0.00158811429056438,0.00625103489209864,-176.71005362472
5,0.00217065142804197,0.00638227112099737,-177.480941397597
6,0.00136476333983421,0.00668473798271924,-176.432145219174
7,0.00192852426219826,0.00582465395670102,-177.418404762985
8,0.0016394609215784,0.00629873014430784,-176.737685951811
9,0.000663991603046058,0.00764069243023329,-177.454207055947
10,0.000791332669760411,0.00579023044716501,-177.376964657569
11,0.00199460819475679,0.00843648062880041,-178.227209057937
12,0.00182778710274729,0.00471524620224031,-179.105196595029
13,0.00123855518889658,0.00922954973203879,-178.661557816722
14,0.00204590272965715,0.00593473379155771,-177.506334768225
15,0.00124162170603684,0.00760168011660944,-176.680766304688
16,0.000990127255247446,0.0075786946365943,-176.759639063679
17,0.0006271450930207,0.00698511707975168,-177.308892573637
18,0.00161427071277452,0.00757157486906244,-176.888528156721
19,0.00151159682236683,0.00769010949274676,-176.87534653602
20,0.00259537298541809,0.00472791474179569,-180.297309043146
21,0.0011065981370309,0.00751277623067091,-176.642289355134
22,0.00097594727699193,0.00722034483386347,-176.589788236065
23,0.00119823323260171,0.00662083316616848,-176.410637147999
24,0.00171650520161498,0.00696968199248466,-176.746671950392
25,0.000751302695062117,0.00842979921196039,-177.975602584769
26,0.00111139078603728,0.00581243759550477,-176.91702674651
27,0.00264860856470428,0.00619852601727501,-178.532451066416
28,0.00111020450282679,0.00684040580615408,-176.418952412597
29,0.00122342256840625,0.0075108624554296,-176.6211958444
30,0.00141200941445115,0.00607789253179053,-176.688120834906
31,0.0011420341082467,0.00717155357466214,-176.470060737958
32,0.0014070998342958,0.00616737811871081,-176.627366611967
33,0.00114530448664721,0.00773912287575918,-176.786865629902
34,0.00111676047908973,0.00545038680533999,-177.382639909469
35,0.00116287298976514,0.00642152647697344,-176.46908061442
36,0.00175238050647708,0.00580176298030016,-177.208228607541
37,0.00106118843457678,0.00716501025909137,-176.502586953752
38,0.00103569972698881,0.00751574142002745,-176.682823634685
39,0.00183802233747196,0.0067527066066911,-176.884935799828
40,0.00161489605312572,0.00703734178752153,-176.646883427788
41,0.00185144987605757,0.00870120537324146,-178.351875104747
42,0.000832270642771717,0.00565588582514785,-177.451907625173
43,0.00191756234832855,0.00606546085636112,-177.214277302792
44,0.00119877822038295,0.00560924142720145,-177.123115089549
45,0.00167970506232549,0.00657964006169117,-176.697195643817
46,0.0012417007805261,0.00726234278627201,-176.495689241673
47,0.0022040428827398,0.00797663379731926,-178.10220946774
48,0.000635156497704952,0.00921617730731608,-179.518529438118
49,0.0022062707561301,0.00693747933243425,-177.514117396985
50,0.00115575958310514,0.00724558244723489,-176.493655005193
51,0.00169920097672601,0.00635757039796668,-176.778543387989
52,0.00202302394373843,0.00753710414642563,-177.432876382937
53,0.00126278949318421,0.00664364186295385,-176.408249464878
54,0.000853535020762944,0.00589159858025866,-177.134219401241
55,0.00138929042464666,0.0073006941862434,-176.559033064635
56,0.00111690482665642,0.0098098808644003,-179.756997031342
57,0.00101048335679148,0.00829088649731408,-177.393178161096
58,0.000971742954325702,0.00703416406852588,-176.541058734128
59,0.00116543480732361,0.0064676426954449,-176.452703656992
60,0.00208751697720577,0.00606748088526186,-177.482082258764
61,0.00238861193123102,0.00818307672600647,-178.672262865832
62,0.00201691471340714,0.00504843422379696,-178.621183037519
63,0.00190732152484037,0.00856353867563028,-178.24985960044
64,0.00205827075923579,0.0111469076318144,-183.423759067787
65,0.000679483373831199,0.00485887473704379,-179.434908997583
66,0.000919992851643879,0.00844860818272971,-177.680781350538
67,0.0010274402025367,0.00963104800015718,-179.463661126696
68,0.00127617715930807,0.00476806797721573,-178.700968773273
69,0.00134868249749458,0.00735952136735728,-176.567431550517
70,0.00159942151674786,0.00631718044900526,-176.690231138954
71,0.00136305109945209,0.00736673807290615,-176.577307932179
72,0.00115360146984802,0.00580156255554377,-176.909355528951
73,0.00212631475244456,0.00851619464337111,-178.550910916884
74,0.003048199558036,0.00499060186579116,-180.776049655856
75,0.00351879135699831,0.00889132785969839,-182.299671630265
76,0.00139278704382899,0.00479920903836142,-178.619387602642
77,0.00255959616249025,0.00722621760501429,-178.330067532909
78,0.000881213197878561,0.00628032742486046,-176.782482161564
79,0.000921423080086476,0.00827001094451769,-177.463470152358
80,0.0011618303526909,0.00563407432808745,-177.102533594161
81,0.00210317529981638,0.00759481839720173,-177.609649040445
82,0.00203603602945093,0.00662709710360539,-177.196129490164
83,0.000819770855831732,0.00757510680173236,-176.998888450516
84,0.000801132682023051,0.00816778945148868,-177.553108321175
85,0.000656695733905377,0.00585027959910053,-177.710678638396
86,0.00114458475546213,0.00580568173070537,-176.90849181603
87,0.00114987241309993,0.00658166912329499,-176.426797030744
88,0.000866262043787897,0.00607920298405239,-176.942316224169
89,0.00185042493362596,0.00704470451586912,-176.941247006664
90,0.00188150830792204,0.00561459628867135,-177.570826573805
91,0.000858970629469131,0.00564322163372428,-177.415144645611
92,0.00123066056562117,0.00555474073494812,-177.189659228867
93,0.000727854644729649,0.006824942355333,-176.966396447416
94,0.00155480790229636,0.0066323350141401,-176.563934555003
95,0.0013191996419839,0.00709174786267395,-176.453741395457
96,0.00128670994578437,0.00713092890654262,-176.456005469589
97,0.00102542570441422,0.00688093405643019,-176.471303177068
98,0.00186189835946612,0.00640177492181663,-176.972104167524
99,0.0010172676692643,0.00787560739675088,-176.964092217692
100,0.0017564729470941,0.00858415244113782,-178.066361378179
1,0.00499759397308885,0.00512217559225862,-187.209005316673
2,0.00176515495867392,0.00843478752188951,-179.303930235596
3,0.00119123332315828,0.00523066185951197,-179.475680269838
4,0.00140452030548542,0.00602445354585862,-178.381823817513
5,0.00178029610683843,0.00724958950520028,-178.413834857656
6,0.001719896755629,0.00745872571883541,-178.433743446631
7,0.000904370286032069,0.00752465939003187,-178.569924824089
8,0.00198598474598374,0.0090770746565291,-180.435427987453
9,0.00147078465002801,0.00690378430980325,-178.07820478999
10,0.000989744821378008,0.00584121193908588,-178.760974204641
11,0.0019180666131425,0.00585861512314763,-179.017904726692
12,0.00145329300379691,0.0087405713007066,-179.4485887084
13,0.000514518161582599,0.00778580450706052,-180.19505474145
14,0.00296395564510643,0.00605050379473951,-180.990081872642
15,0.00114441526881192,0.00620588996689508,-178.284313735781
16,0.0011222624069676,0.00653066211974148,-178.145936839919
17,0.00136929553259306,0.00604826467135743,-178.35327852111
18,0.0011657279959295,0.00741652764056033,-178.210341988936
19,0.00170124940760089,0.0071013746374925,-178.284943521103
20,0.00164768259317924,0.00651422427453005,-178.25650682604
21,0.00204572092003706,0.00680448837145134,-178.725006280591
22,0.000564632588527024,0.00551708882149291,-180.600914350717
23,0.00104735317838434,0.0082559758877199,-178.962479784918
24,0.00128475174264878,0.00749630199026205,-178.216164165669
25,0.00128909567190041,0.00748351159995963,-178.209010627063
26,0.00155647740368587,0.00640394409593732,-178.221623130626
27,0.00162975424108434,0.00765978149268772,-178.463071185902
28,0.00111521776417264,0.00808975991190148,-178.732410746119
29,0.000779077767022725,0.00803346905029687,-179.241804827422
30,0.00301785440340593,0.00573281328836362,-181.424524147837
31,0.0015728237851599,0.00884995064269194,-179.663811107939
32,0.00176904226470391,0.00683852131484261,-178.332650948976
33,0.000579197256878232,0.00664411827894067,-179.522581659114
34,0.0010295109891899,0.00731971077455214,-178.28128223942
35,0.00112341212352174,0.00770597453269012,-178.407068474603
36,0.000989894841157677,0.0050235185501331,-180.113753416025
37,0.00153896219564712,0.00899020670999239,-179.84456041385
38,0.00215292496874317,0.00734331764403519,-179.001429100096
39,0.000733860335391341,0.00851095362985246,-179.892015768303
40,0.000485696091167967,0.0111066163053141,-186.001414418207
41,0.00134710059548331,0.00823757021936772,-178.814946210411
42,0.00157125335576879,0.00860998405194112,-179.341937695488
43,0.00241989372579249,0.00830412895719789,-180.198544280116
44,0.00211127649048694,0.00558037126348986,-179.661057737463
45,0.00204358125573394,0.00581988759437144,-179.252969674214
46,0.00161081559646842,0.00762621147308986,-178.425509994953
47,0.00169336608136006,0.00589426289405306,-178.700806060147
48,0.00160428391467924,0.00520292995203776,-179.618289919423
49,0.00130087920340781,0.00529592463279813,-179.322392868804
50,0.00200408366629013,0.00756172403387223,-178.861104085187
51,0.00200538782073745,0.00689933605948936,-178.659674367679
52,0.00151153228240109,0.00802528043725093,-178.66416545137
53,0.00128629907022379,0.00768204929131496,-178.329511964478
54,0.00112523586330625,0.00586787892671304,-178.582488714976
55,0.00137593584198008,0.00663131692863407,-178.063342402993
56,0.00114884015222712,0.00665644193063444,-178.097433801093
57,0.00246960079011675,0.0055246482386152,-180.430082927369
58,0.00200992487676401,0.00866392257296992,-179.898250822659
59,0.00161215968872243,0.00681505720315185,-178.173350846306
60,0.00101205607353919,0.00698183020212588,-178.214929444709
61,0.000887412159679779,0.00662186568223431,-178.441669019003
62,0.00208511233460475,0.00679681621820229,-178.790741172394
63,0.00108999125506618,0.00663355762422709,-178.145903481617
64,0.0018188641312006,0.007819783220139,-178.775218351115
65,0.00102610679246666,0.00774376583668709,-178.524731109397
66,0.00171751812647881,0.00686458313270217,-178.274636279068
67,0.00107648211489099,0.007708527988561,-178.446968081524
68,0.00188566211230659,0.00581790338396314,-179.014935015676
69,0.00185445163837382,0.00594758797133834,-178.841719669141
70,0.00247042226959466,0.00405687177405727,-184.164350932632
71,0.00146675012745539,0.00602708636437568,-178.404194518856
72,0.00140035936703309,0.00654454421391683,-178.090791450564
73,0.00169716046129504,0.00871258420380791,-179.578344431324
74,0.00184719344550009,0.00577896532556968,-179.005700964755
75,0.000962449605942718,0.00820822182975533,-179.021100607416
76,0.00305987569994304,0.00565325857175078,-181.620102648129
77,0.00285304629489515,0.0057101391081182,-181.051870480658
78,0.000852899207187505,0.00822422038993071,-179.24231045603
